Railroad,Origin-Destination SPLC,Commodity Group Name,2025 Tons,2030 Tons,2035 Tons,2040 Tons
EAST,'286550461446,IM,4760,4950.4,5148.416,5148.416
EAST,'413334417500,MET_ORE,3240,3564,3670.92,3927.8844
EAST,'392474392200,AG_FOOD,19100,19291,19483.91,20458.1055
EAST,'417500439900,IM,17240,18791.6,19543.264,20324.99456
EAST,'049996403894,CHEM_PET,8320,8403.2,8655.296,9347.71968
EAST,'381315148250,OTHER,800,808,832.24,848.8848
EAST,'409160417500,CHEM_PET,4560,4788,4979.52,4979.52
EAST,'396640233425,CHEM_PET,3880,4268,4268,4310.68
EAST,'414447439900,FOR_PROD,4400,4752,4752,5037.12
EAST,'377620394954,NONMET_PRO,17052,18416.16,19336.968,20303.8164
EAST,'206297439790,CHEM_PET,800,816,832.32,898.9056
EAST,'645172651718,CHEM_PET,3200,3456,3490.56,3769.8048
EAST,'653900456495,MO_VEH,1600,1616,1632.16,1779.0544
EAST,'463793461417,FOR_PROD,2360,2383.6,2455.108,2676.06772
EAST,'261121396640,IM,3520,3872,3988.16,4107.8048
EAST,'428880421350,CHEM_PET,3720,3757.2,3907.488,4024.71264
EAST,'566900414692,CHEM_PET,4360,4796,4796,4891.92
EAST,'396640294144,CHEM_PET,3400,3706,3891.3,4163.691
EAST,'216433497777,CHEM_PET,5080,5130.8,5130.8,5387.34
EAST,'281435262400,CHEM_PET,3960,4078.8,4160.376,4201.97976
EAST,'647000417424,CHEM_PET,3920,4312,4527.6,4889.808
EAST,'380000261203,CHEM_PET,3080,3388,3455.76,3490.3176
EAST,'380000343100,COAL,31254,34066.86,34066.86,35770.203
EAST,'279756413314,COAL,49976,51975.04,53534.2912,54069.63411
EAST,'286550191649,MO_VEH,2000,2080,2163.2,2357.888
EAST,'380000406850,CHEM_PET,85517,86372.17,88963.3351,88963.3351
EAST,'479386380000,FOR_PROD,3600,3888,4043.52,4407.4368
EAST,'491200647000,CHEM_PET,3920,4116,4239.48,4239.48
EAST,'262600380000,MET_ORE,3160,3223.2,3384.36,3485.8908
EAST,'396640271252,CHEM_PET,4000,4160,4201.6,4201.6
EAST,'381315145460,CHEM_PET,6720,6854.4,7197.12,7700.9184
EAST,'456200472600,CHEM_PET,2560,2611.2,2663.424,2690.05824
EAST,'218500206297,IM,160,176,183.04,199.5136
EAST,'396640318378,MO_VEH,13800,13938,14216.76,15354.1008
EAST,'204853223235,NONMET_PRO,144612,153288.72,153288.72,154821.6072
EAST,'392200253900,AG_FOOD,8720,9504.8,9980.04,10179.6408
EAST,'456388380639,AG_FOOD,2480,2678.4,2705.184,2894.54688
EAST,'384869200624,NONMET_PRO,9120,9667.2,9667.2,10633.92
EAST,'380000319140,AG_FOOD,18728,18915.28,19861.044,21052.70664
EAST,'472983384850,FOR_PROD,3320,3386.4,3420.264,3420.264
EAST,'380000233430,FOR_PROD,7040,7040,7321.6,7541.248
EAST,'279933261020,COAL,5196,5196,5196,5715.6
EAST,'647000442332,CHEM_PET,4160,4284.8,4456.192,4456.192
EAST,'472210475657,CHEM_PET,3840,4070.4,4192.512,4611.7632
EAST,'457620209264,NONMET_PRO,4040,4282.4,4453.696,4453.696
EAST,'444780499440,NONMET_PRO,3800,3876,3914.76,3914.76
EAST,'361433218500,MET_ORE,3600,3888,4043.52,4286.1312
EAST,'234000380639,IM,10200,10608,10608,11138.4
EAST,'272997456285,CHEM_PET,6280,6845.2,6845.2,7529.72
EAST,'380000296916,CHEM_PET,4000,4080,4120.8,4244.424
EAST,'278826359430,COAL,22863,24692.04,25926.642,26185.90842
EAST,'191650380037,MO_VEH,1200,1236,1285.44,1401.1296
EAST,'380000418922,FOR_PROD,3080,3264.8,3330.096,3629.80464
EAST,'343100567257,MO_VEH,3000,3300,3432,3534.96
EAST,'496417447162,MET_ORE,3800,3952,4110.08,4233.3824
EAST,'271252261200,NONMET_PRO,4080,4202.4,4328.472,4544.8956
EAST,'647000422390,CHEM_PET,3760,3910.4,3949.504,4265.46432
EAST,'684320684421,CHEM_PET,3120,3151.2,3214.224,3310.65072
EAST,'362686427330,AG_FOOD,4280,4579.6,4716.988,5141.51692
EAST,'377618379164,NONMET_PRO,9624,10201.44,10609.4976,11246.06746
EAST,'380000148250,IM,1920,1996.8,2076.672,2201.27232
EAST,'647000413332,MO_VEH,4800,4896,5091.84,5397.3504
EAST,'347527206299,CHEM_PET,2560,2790.4,2902.016,3105.15712
EAST,'471534453869,CHEM_PET,4000,4200,4284,4455.36
EAST,'396640349660,CHEM_PET,4320,4492.8,4492.8,4492.8
EAST,'658671483170,CHEM_PET,38280,39428.4,40216.968,41021.30736
EAST,'380000453360,CHEM_PET,3680,4048,4048,4209.92
EAST,'380000192229,AG_FOOD,3840,4032,4072.32,4438.8288
EAST,'472210456122,MET_ORE,2440,2537.6,2639.104,2797.45024
EAST,'396640145574,MO_VEH,6640,6905.6,7043.712,7536.77184
EAST,'417500380000,FOR_PROD,1600,1712,1729.12,1850.1584
EAST,'392200446192,AG_FOOD,8080,8645.6,8904.968,8994.01768
EAST,'204910198546,CHEM_PET,2920,3153.6,3153.6,3405.888
EAST,'497592344192,CHEM_PET,5988,6107.76,6168.8376,6168.8376
EAST,'396640236372,CHEM_PET,3400,3638,3783.52,3783.52
EAST,'253272182810,NONMET_PRO,8560,8560,8816.8,9081.304
EAST,'369140380000,AG_FOOD,3800,3838,3914.76,4267.0884
EAST,'456496461417,IM,1200,1224,1248.48,1298.4192
EAST,'413350392200,AG_FOOD,4200,4452,4674.6,5142.06
EAST,'648115457520,CHEM_PET,3920,3998.4,4158.336,4241.50272
EAST,'207310439790,IM,1200,1320,1372.8,1482.624
EAST,'479473647000,CHEM_PET,10720,11041.6,11152.016,11375.05632
EAST,'318200361800,NONMET_PRO,10800,11232,11232,11456.64
EAST,'347527202412,CHEM_PET,5160,5160,5263.2,5421.096
EAST,'439900456122,CHEM_PET,3600,3780,3931.2,4167.072
EAST,'348540407384,AG_FOOD,17820,19067.4,19258.074,19258.074
EAST,'472210407767,CHEM_PET,14920,15069.2,15370.584,15677.99568
EAST,'416629194241,OTHER,3520,3766.4,3954.72,4073.3616
EAST,'185400206766,CHEM_PET,1840,1987.2,2026.944,2026.944
EAST,'207800439250,CHEM_PET,2920,3007.6,3127.904,3159.18304
EAST,'396640289178,MET_ORE,4360,4578,4578,4578
EAST,'380639234000,FOR_PROD,840,882,917.28,953.9712
EAST,'464160497133,NONMET_PRO,49924,52420.2,52420.2,56613.816
EAST,'392200566900,AG_FOOD,43400,46872,48746.88,53134.0992
EAST,'219242232427,COAL,28202,30176.14,31081.4242,31392.23844
EAST,'343689191490,FOR_PROD,840,898.8,934.752,1009.53216
EAST,'462330347696,NONMET_PRO,4440,4573.2,4618.932,4942.25724
EAST,'343689191490,IM,760,805.6,829.768,871.2564
EAST,'619190668200,NONMET_PRO,68300,73764,77452.2,79775.766
EAST,'613589656532,NONMET_PRO,77442,85186.2,87741.786,93883.71102
EAST,'479479318360,MET_ORE,3880,4151.6,4151.6,4566.76
EAST,'380000343100,CHEM_PET,1200,1296,1360.8,1456.056
EAST,'277389194229,CHEM_PET,3920,3920,4037.6,4360.608
EAST,'447850443241,FOR_PROD,400,404,408.04,436.6028
EAST,'380000199330,CHEM_PET,4400,4796,4987.84,5436.7456
EAST,'647000456360,OTHER,1200,1212,1236.24,1335.1392
EAST,'281126380000,CHEM_PET,3040,3222.4,3383.52,3383.52
EAST,'472600344900,MET_ORE,360,396,411.84,420.0768
EAST,'363216316870,MET_ORE,7160,7303.2,7522.296,8048.85672
EAST,'269290421350,COAL,23562,25918.2,26954.928,27763.57584
EAST,'191560567500,IM,5040,5140.8,5140.8,5397.84
EAST,'581520609300,AG_FOOD,7880,8195.2,8441.056,9200.75104
EAST,'291257414977,COAL,25406,26930.36,28276.878,28559.64678
EAST,'261121359814,IM,8000,8480,8904,9705.36
EAST,'353618171760,AG_FOOD,4080,4080,4284,4541.04
EAST,'388260392200,AG_FOOD,6680,7147.6,7504.98,7504.98
EAST,'463140457620,NONMET_PRO,7800,8346,8596.38,9198.1266
EAST,'447850443241,MO_VEH,1000,1020,1030.2,1092.012
EAST,'380000456122,AG_FOOD,3680,3827.2,3903.744,4137.96864
EAST,'191822380000,CHEM_PET,1600,1664,1747.2,1764.672
EAST,'201120344200,OTHER,1200,1320,1372.8,1413.984
EAST,'456495443241,IM,3680,3827.2,3865.472,4136.05504
EAST,'380000209245,AG_FOOD,4400,4796,5035.8,5035.8
EAST,'380000491200,MET_ORE,400,428,432.28,432.28
EAST,'497540381315,AG_FOOD,840,865.2,865.2,908.46
EAST,'207310456200,FOR_PROD,400,436,436,475.24
EAST,'424250417500,NONMET_PRO,4640,5057.6,5108.176,5618.9936
EAST,'380000218155,NONMET_PRO,12640,13398.4,13666.368,15033.0048
